City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Dingle,PH,75.76,light rain,10.9995,122.6711,SEGAYA PROPERTY
4,Buenavista,PH,75.65,broken clouds,8.9769,125.4089,Room For Rent
7,Buluang,PH,75.76,overcast clouds,13.3068,123.3425,Enon Beach Resort
12,Vanimo,PG,77.92,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
14,San Patricio,US,77.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
25,Qui Nhon,VN,77.32,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
27,Kapaa,US,75.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
33,Georgetown,MY,80.53,thunderstorm with light rain,5.4112,100.3354,Cititel Penang
36,Ocos,GT,89.73,scattered clouds,14.5094,-92.1933,Auto Hotel El Soñador
40,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
41,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
43,Hithadhoo,MV,83.01,broken clouds,-0.6,73.0833,Scoop Guest House
48,Quang Ngai,VN,75.54,overcast clouds,15.1167,108.8,Central Hotel
52,Saint-Philippe,RE,78.39,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
64,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
65,Namibe,AO,75.83,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
66,Atuona,PF,77.77,scattered clouds,-9.8,-139.0333,Villa Enata
71,Curillo,CO,82.54,broken clouds,1.0333,-75.9191,CASA CLUB
76,Gizo,SB,82.69,scattered clouds,-8.103,156.8419,Imagination Island
85,Linares,CL,80.47,clear sky,-35.85,-71.6,Hotel Real
88,Butaritari,KI,82.11,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
94,Pirojpur,BD,75.24,overcast clouds,22.5667,89.9833,"Circuit House, Pirojpur"
104,Dunmore Town,BS,80.62,overcast clouds,25.5,-76.65,Coral Sands Hotel
107,Yala,TH,75.25,overcast clouds,6.3333,101.25,งานแต่ง Murnee - Wahid
109,Wanning,CN,76.06,overcast clouds,18.8003,110.3967,Paradise Hotel
110,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
113,Kununurra,AU,82.38,scattered clouds,-15.7667,128.7333,Hotel Kununurra
116,Santa Rosa,PH,81.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
118,Narasannapeta,IN,77.58,overcast clouds,18.4167,84.05,G.lingaraju home
120,Arraial Do Cabo,BR,82.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
122,Malpe,IN,81.7,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
125,Banda Aceh,ID,79.43,overcast clouds,5.5577,95.3222,Sulthan Hotel International
133,Yulara,AU,76.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
136,Sao Filipe,CV,79.61,overcast clouds,14.8961,-24.4956,Hotel Xaguate
139,Bintulu,MY,75.61,light rain,3.1667,113.0333,900 Boutique INN
141,Lorengau,PG,81.45,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
142,Faanui,PF,79.21,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
145,Auki,SB,77.77,scattered clouds,-8.7676,160.7034,Auki Motel
146,Juba,SS,85.14,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
148,Bathsheba,BB,86.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
152,Victoria,HK,78.85,light rain,22.2855,114.1577,Mini Hotel Central
154,Mbalmayo,CM,78.94,light rain,3.5167,11.5,Hôtel les Nouveaux Jardins Des Tropiques
158,Qeshm,IR,80.49,broken clouds,26.9581,56.2719,Qeshm Kavan Hotel
160,Coruripe,BR,83.12,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
161,Bac Lieu,VN,80.1,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
169,Quelimane,MZ,76.95,scattered clouds,-17.8786,36.8883,Hotel Flamingo
171,Bengkulu,ID,77.77,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
173,Dawei,MM,76.17,overcast clouds,14.0833,98.2,Hotel Dawei
174,Kirakira,SB,80.65,few clouds,-10.4544,161.9205,SanBiz Lodge
179,Acapulco,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
185,Berbera,SO,83.53,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
188,Parita,PA,85.32,overcast clouds,8.0,-80.5167,Finca Huertos y Jardines
189,Ponta Do Sol,PT,75.7,overcast clouds,32.6667,-17.1,Hotel do Campo
192,Murbad,IN,85.21,light rain,19.25,73.4,OYO 62747 Hotel Sarika
196,Kalawit,PH,77.94,few clouds,8.0667,122.5167,Ompoy Pension House
201,Kolda,SN,86.31,clear sky,12.8833,-14.95,Hôtel Hobbe Chasse
202,Areia,BR,87.39,broken clouds,-6.9633,-35.6917,Agro Villa
203,Hobyo,SO,81.25,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
207,Asyut,EG,87.35,clear sky,27.181,31.1837,Florence Hotel Assiut
209,Tual,ID,83.53,broken clouds,-5.6667,132.75,Grand Vilia Hotel
210,Xapuri,BR,86.65,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
215,Luwuk,ID,78.08,few clouds,-0.9516,122.7875,Hotel Santika Luwuk
220,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
224,Toamasina,MG,77.0,thunderstorm with light rain,-18.1667,49.3833,Hotel H1
228,Port Blair,IN,81.34,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
229,Cabinda,AO,84.34,few clouds,-5.55,12.2,Hotel Maiombe
233,Kieta,PG,80.69,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
