City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,46.71,98,31,0.65,scattered clouds
1,Dingle,PH,10.9995,122.6711,75.76,91,78,7.36,light rain
2,Jamestown,US,42.097,-79.2353,54.84,81,1,3.0,clear sky
3,Albany,US,42.6001,-73.9662,52.48,80,73,3.13,broken clouds
4,Buenavista,PH,8.9769,125.4089,75.65,92,73,4.05,broken clouds
5,Torbay,CA,47.6666,-52.7314,40.57,82,90,14.97,overcast clouds
6,Mandalgovi,MN,45.7625,106.2708,36.55,41,0,7.23,clear sky
7,Buluang,PH,13.3068,123.3425,75.76,91,98,4.07,overcast clouds
8,Vaini,TO,-21.2,-175.2,73.56,83,75,5.75,broken clouds
9,Ushuaia,AR,-54.8,-68.3,58.66,44,20,17.27,few clouds
10,Puerto Ayora,EC,-0.7393,-90.3518,73.36,90,91,3.0,overcast clouds
11,Roald,NO,62.5833,6.1333,55.33,87,40,9.22,light rain
12,Vanimo,PG,-2.6741,141.3028,77.92,89,100,3.69,overcast clouds
13,Bichura,RU,50.5881,107.6022,33.13,90,100,3.53,overcast clouds
14,San Patricio,US,28.017,-97.5169,77.88,20,0,18.63,clear sky
15,Hobart,AU,-42.8794,147.3294,50.02,94,90,1.01,moderate rain
16,Norman Wells,CA,65.282,-126.8329,19.44,93,75,3.44,light snow
17,Qaanaaq,GL,77.484,-69.3632,21.65,93,100,8.28,overcast clouds
18,Cidreira,BR,-30.1811,-50.2056,72.59,76,5,15.48,clear sky
19,Port Alfred,ZA,-33.5906,26.891,68.85,90,100,17.13,overcast clouds
20,Chistogorskiy,RU,53.9835,87.3843,28.13,65,10,3.29,clear sky
21,Katangli,RU,51.7102,143.2326,39.29,73,100,8.79,overcast clouds
22,Rikitea,PF,-23.1203,-134.9692,73.85,81,27,4.18,scattered clouds
23,Punta Arenas,CL,-53.15,-70.9167,60.91,51,75,24.16,broken clouds
24,Nikolskoye,RU,59.7035,30.7861,47.88,91,100,5.91,overcast clouds
25,Qui Nhon,VN,13.7667,109.2333,77.32,88,99,6.13,overcast clouds
26,Chokurdakh,RU,70.6333,147.9167,-2.85,93,99,3.47,overcast clouds
27,Kapaa,US,22.0752,-159.319,75.18,99,90,11.5,light rain
28,Ribeira Grande,PT,38.5167,-28.7,68.4,73,75,5.75,broken clouds
29,Busselton,AU,-33.65,115.3333,43.05,80,26,9.37,scattered clouds
30,Port Macquarie,AU,-31.4333,152.9167,65.89,100,60,0.0,broken clouds
31,Nouadhibou,MR,20.931,-17.0347,76.98,57,0,13.8,clear sky
32,Merzifon,TR,40.8733,35.4631,49.46,71,40,13.8,scattered clouds
33,Georgetown,MY,5.4112,100.3354,80.53,92,40,1.01,thunderstorm with light rain
34,Umea,SE,63.8284,20.2597,44.53,100,90,9.22,light rain
35,Kodiak,US,57.79,-152.4072,34.27,72,95,5.01,overcast clouds
36,Ocos,GT,14.5094,-92.1933,89.73,76,27,4.68,scattered clouds
37,Khatanga,RU,71.9667,102.5,-3.26,98,100,5.37,overcast clouds
38,Xining,CN,36.6167,101.7667,40.26,71,100,2.15,overcast clouds
39,Mehamn,NO,71.0357,27.8492,30.38,86,0,41.43,light snow
40,Kahului,US,20.8947,-156.47,75.85,87,1,5.75,clear sky
41,Manta,EC,-0.95,-80.7333,78.58,78,75,13.8,broken clouds
42,Hermanus,ZA,-34.4187,19.2345,71.91,76,0,10.98,clear sky
